代码,名称,交易状态,方向,订单价格,订单数量,已成交@均价,操作,下单时间,订单类型,期限,盘前竞价,时段,触发价,卖空,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场,币种,对手经纪,备注,交易活动费,证监会规费, 合计费用, 当前费用为实盘收费估算值，可能与实盘存在差异
MARA,MARA Holdings,全部成交,买入,17.4,200,200@17.4,,2024/10/17 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.4,3480,2024/10/17 10:02,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,17.3,200,200@17.27,,2024/10/17 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.27,3454,2024/10/17 10:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,17.7,400,400@17.7,,2024/10/17 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,17.7,7080,2024/10/17 11:12,美国市场,美元,,,0.07,0.2,0.27,
MARA,MARA Holdings,全部成交,买入,18.1,200,200@18.05,,2024/10/17 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.05,3610,2024/10/17 12:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,18.1,200,200@18.07,,2024/10/17 12:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.07,3614,2024/10/17 12:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,18.2,400,400@18.21,,2024/10/17 13:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,18.21,7284,2024/10/17 13:00,美国市场,美元,,,0.07,0.2,0.27,
MARA,MARA Holdings,全部成交,买入,18.4,200,200@18.36,,2024/10/17 13:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.36,3672,2024/10/17 13:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,18.5,200,200@18.47,,2024/10/17 14:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.47,3694,2024/10/17 14:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,18,200,200@18.0,,2024/10/17 15:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18,3600,2024/10/17 15:01,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,18,200,200@17.99,,2024/10/17 15:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.99,3598,2024/10/17 15:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,18.4,400,400@18.4,,2024/10/18 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,18.4,7360,2024/10/18 9:31,美国市场,美元,,,0.07,0.2,0.27,
MARA,MARA Holdings,全部成交,卖出,18.4,400,400@18.4,,2024/10/18 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,18.4,7360,2024/10/18 9:31,美国市场,美元,,,0.07,0.2,0.27,
MARA,MARA Holdings,全部成交,买入,18.7,200,200@18.68,,2024/10/18 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.68,3736,2024/10/18 10:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,18.5,200,200@18.5,,2024/10/18 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.5,3700,2024/10/18 10:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,18.8,200,200@18.8,,2024/10/18 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.8,3760,2024/10/18 11:00,美国市场,美元,,,0.03,0.1,0.13,
MARA,MARA Holdings,全部成交,买入,18.7,200,200@18.68,,2024/10/18 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.68,3736,2024/10/18 11:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,18.9,400,400@18.91,,2024/10/18 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,18.91,7564,2024/10/18 12:00,美国市场,美元,,,0.07,0.21,0.28,
MARA,MARA Holdings,全部成交,买入,18.9,200,200@18.9,,2024/10/18 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.9,3780,2024/10/18 12:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,18.9,200,200@18.87,,2024/10/18 12:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.87,3774,2024/10/18 12:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部撤单,卖出,19.1,400,0.0@0.0,,2024/10/18 15:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,0,0,0,,美国市场,美元,,,,,,
MARA,MARA Holdings,全部成交,买入,18.7,200,200@18.7,,2024/10/21 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.7,3740,2024/10/21 9:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,18.2,200,200@18.15,,2024/10/21 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.15,3630,2024/10/21 10:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,18.2,200,200@18.15,,2024/10/21 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.15,3630,2024/10/21 10:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,18,200,200@17.96,,2024/10/21 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.96,3592,2024/10/21 11:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,18.4,200,200@18.4,,2024/10/21 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,18.4,3680,2024/10/21 12:00,美国市场,美元,,,0.03,0.1,0.13,
